set,product_id,card,url,Ungraded,Grade 9,PSA 10
pokemon-promo,10694670,Psyduck #7,https://www.pricecharting.com/game/pokemon-promo/psyduck-7,11.0,34.05,501.32
pokemon-promo,6791478,Shadow Lugia [Jumbo],https://www.pricecharting.com/game/pokemon-promo/shadow-lugia-jumbo,489.0,,
pokemon-promo,11239139,N's Zekrom #31,https://www.pricecharting.com/game/pokemon-promo/n%27s-zekrom-31,12.3,43.51,476.5
pokemon-promo,844886,Greninja GX #SM197,https://www.pricecharting.com/game/pokemon-promo/greninja-gx-sm197,18.0,55.25,449.13
pokemon-promo,844898,Moltres & Zapdos & Articuno GX #SM210,https://www.pricecharting.com/game/pokemon-promo/moltres-&-zapdos-&-articuno-gx-sm210,153.28,157.45,449.12
pokemon-promo,2245570,Eevee GX #SM242,https://www.pricecharting.com/game/pokemon-promo/eevee-gx-sm242,18.0,41.0,444.57
pokemon-promo,1656570,Pikachu #SWSH039,https://www.pricecharting.com/game/pokemon-promo/pikachu-swsh039,9.41,35.5,424.02
pokemon-promo,2755745,Pikachu & Zekrom GX #SM248,https://www.pricecharting.com/game/pokemon-promo/pikachu-&-zekrom-gx-sm248,34.0,63.0,420.0
pokemon-promo,5550809,Pikachu V-Union [Jumbo],https://www.pricecharting.com/game/pokemon-promo/pikachu-v-union-jumbo,13.69,86.0,419.0
pokemon-promo,844552,Fennekin #XY02,https://www.pricecharting.com/game/pokemon-promo/fennekin-xy02,4.5,342.5,404.67
pokemon-promo,9370592,Eevee Ex #174,https://www.pricecharting.com/game/pokemon-promo/eevee-ex-174,28.81,38.06,402.5
pokemon-promo,844883,Detective Pikachu #SM194,https://www.pricecharting.com/game/pokemon-promo/detective-pikachu-sm194,8.64,46.75,402.5
pokemon-promo,7108819,Kingdra Ex #131,https://www.pricecharting.com/game/pokemon-promo/kingdra-ex-131,91.72,119.6,390.0
pokemon-promo,4768541,Pikachu VMax #SWSH286,https://www.pricecharting.com/game/pokemon-promo/pikachu-vmax-swsh286,7.53,26.32,387.5
pokemon-promo,1656560,Rayquaza #SWSH029,https://www.pricecharting.com/game/pokemon-promo/rayquaza-swsh029,9.71,31.49,372.48
pokemon-promo,6314889,Mimikyu [Pokemon Center] #75,https://www.pricecharting.com/game/pokemon-promo/mimikyu-pokemon-center-75,78.5,80.21,369.64
pokemon-promo,643521,Electabuzz #2,https://www.pricecharting.com/game/pokemon-promo/electabuzz-2,9.04,50.0,368.54
pokemon-promo,9572183,Eevee #200,https://www.pricecharting.com/game/pokemon-promo/eevee-200,3.21,23.25,346.75
pokemon-promo,643549,Team Rocket's Meowth #18,https://www.pricecharting.com/game/pokemon-promo/team-rocket%27s-meowth-18,22.95,58.48,344.81
pokemon-promo,4895794,Galarian Moltres #SWSH284,https://www.pricecharting.com/game/pokemon-promo/galarian-moltres-swsh284,17.5,30.0,343.55
pokemon-promo,844885,Mewtwo GX #SM196,https://www.pricecharting.com/game/pokemon-promo/mewtwo-gx-sm196,13.59,48.5,338.58
