Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Dark Wartortle,Dark Wartortle #39,$2.75,$41.41,$99.99,https://storage.googleapis.com/images.pricecharting.com/ac1a94112bf7f2b1a360369b240689b3627f5ea50ab93079b0117b3d9222e228/60.jpg
Flareon,Flareon [Reverse Holo] #10,$185.88,$650.00,"$4,456.25",https://storage.googleapis.com/images.pricecharting.com/05560483cc1323b110acfdd9e0a9e3c7867ac5dc3d429ebdfdadee6a7606843c/60.jpg
Flareon,Flareon #10,$32.00,$194.11,"$1,825.00",https://storage.googleapis.com/images.pricecharting.com/80ebe25ddae6d485d09680dc37f82526cd9d1116c4cb3704324dae872035c567/60.jpg
Slowpoke,Slowpoke [Reverse Holo] #93,$183.44,$867.59,"$1,160.38",https://storage.googleapis.com/images.pricecharting.com/c2bb92bec8c13097136696ecbceaefe7c74cabd66008eb072d46463458b86d3f/60.jpg
Slowpoke,Slowpoke #93,$1.72,$25.00,$55.00,https://storage.googleapis.com/images.pricecharting.com/e0fd41d3839a05e8cddc2033a78a756751204ce4dccc0c760fe739e902b17402/60.jpg
Alakazam,Alakazam [Reverse Holo] #1,$182.50,$952.24,"$3,246.86",https://storage.googleapis.com/images.pricecharting.com/81fa8dbd87132da5cc9536fcbad2c0c28ade84681bea394434924f72e3863cfa/60.jpg
Alakazam,Alakazam #1,$49.24,$98.50,$543.92,https://storage.googleapis.com/images.pricecharting.com/98c572a105aa3d050af85866d15c8a151958d0f3cae840620ce368deb1c6b129/60.jpg
Dark Dragonair,Dark Dragonair [Reverse Holo] #38,$180.07,$900.00,"$1,495.00",https://storage.googleapis.com/images.pricecharting.com/07f63bcf806daafc63edf3e198605c4dbd3eab7ac17651d55e5462717f2ac860/60.jpg
Dark Dragonair,Dark Dragonair #38,$3.97,$24.66,$232.71,https://storage.googleapis.com/images.pricecharting.com/eb6a0989a4c4577126305436cffa3c9eb3c0ebe2c77ff95d0f33d0af1dffc018/60.jpg
Gyarados,Gyarados [Reverse Holo] #12,$180.00,$799.00,"$2,583.50",https://storage.googleapis.com/images.pricecharting.com/4735c60292bbdeda60724f951c8de6f72fb9f8b488c60de9c751ff6857d7e610/60.jpg
Gyarados,Gyarados #12,$29.44,$83.00,$979.21,https://storage.googleapis.com/images.pricecharting.com/29333a36dd314910e516c6e7043accc3ef74cbb518cda84dbe0d9fc02435b6f9/60.jpg
Ninetales,Ninetales [Reverse Holo] #17,$172.39,$464.83,"$10,749.50",https://storage.googleapis.com/images.pricecharting.com/119feb2695d6ce96b4dc5025ebfd51a146b9b86ef413116b403f46ca4b7f4913/60.jpg
Ninetales,Ninetales #17,$42.45,$80.18,$749.83,https://storage.googleapis.com/images.pricecharting.com/21d1f1f7a8588046ff8ff845594f45d6668f6c36042c21aec7806c2d43be1156/60.jpg
Moltres,Moltres [Reverse Holo] #30,$163.07,$897.89,"$8,100.00",https://storage.googleapis.com/images.pricecharting.com/368d4ed5d83a01ce921c1b5b88dcb362527d74f5b25b0feed13d240c315355a7/60.jpg
Moltres,Moltres #30,$7.99,$35.89,$77.84,https://storage.googleapis.com/images.pricecharting.com/dfa503546454af3bff67a2872eae05bfbf4f84836f6ba8634947ed3c4eb9f196/60.jpg
Charmeleon,Charmeleon [Reverse Holo] #37,$149.53,$776.58,"$1,245.86",https://storage.googleapis.com/images.pricecharting.com/de6b3d79eb2a5ff864ed81be520902f13ee742c261c5af4f0069c7730b2fe884/60.jpg
Charmeleon,Charmeleon #37,$2.25,$32.48,$70.81,https://storage.googleapis.com/images.pricecharting.com/3c50b808eaec0026f20f0e3ec0119ce845ba0125c6a7ae533063cba71cea1738/60.jpg
Haunter,Haunter [Reverse Holo] #46,$145.00,$561.25,"$3,675.00",https://storage.googleapis.com/images.pricecharting.com/c323254643e9aab006fea09452227916f288253a8635e8b42b76d4cdc7ed2c7a/60.jpg
Haunter,Haunter #46,$3.34,$20.50,$170.00,https://storage.googleapis.com/images.pricecharting.com/0c73a40aa35c6a34c8375cd7dbd5613fa973ee0481669e4100f1cad3ede7df8d/60.jpg
Ivysaur,Ivysaur [Reverse Holo] #47,$143.39,$643.67,"$1,672.57",https://storage.googleapis.com/images.pricecharting.com/697c652a7908858d28acf53fe26166d4721906df00427e445fd338f6ebcc2fa3/60.jpg
Ivysaur,Ivysaur #47,$4.04,$25.25,$53.18,https://storage.googleapis.com/images.pricecharting.com/7d3cce371eb91bc391233cf8867ac4cbea94407a99941a85ec92de683f60d0f1/60.jpg
Articuno,Articuno [Reverse Holo] #2,$142.96,$544.65,"$2,397.38",https://storage.googleapis.com/images.pricecharting.com/47a8b8ecb00df8ebf4ed8291e51220f69179b14817fefe94f01c6ad8df855a6f/60.jpg
Articuno,Articuno #2,$17.81,$140.00,$557.99,https://storage.googleapis.com/images.pricecharting.com/decadbf0ae64968cfe8e1245e3eacc362d79bf6f926a9b9550855de75c459a6e/60.jpg
Dratini,Dratini [Reverse Holo] #72,$141.48,$448.75,"$3,144.48",https://storage.googleapis.com/images.pricecharting.com/f62dde045750ef46966a476795f738dc24b093389d55350a659b02d20d936aaa/60.jpg
Dratini,Dratini #72,$1.74,$101.00,$121.00,https://storage.googleapis.com/images.pricecharting.com/ee8a17a7683bee53cbdcb5b39def823faa6d9999e9d1999b7fe31cd94d47d2d3/60.jpg
Kabuto,Kabuto [Reverse Holo] #48,$140.72,$290.22,$725.92,https://storage.googleapis.com/images.pricecharting.com/415949d61cbc4b56b532033385e502cb1afc6ddf7411bb7c522cb183d42955f5/60.jpg
Kabuto,Kabuto #48,$1.67,$64.00,$77.00,https://storage.googleapis.com/images.pricecharting.com/32201ac6ed0a11d57a2df9ce328d3ecee57f8fa436fb293548fd5c106965a833/60.jpg
Nidoking,Nidoking [Reverse Holo] #31,$135.63,$350.00,$631.67,https://storage.googleapis.com/images.pricecharting.com/433b4559a5e46ef262e61d88e67fa80cc15cdae60a29faa1c286cb1c5847b76d/60.jpg
Nidoking,Nidoking #31,$11.46,$59.22,$80.00,https://storage.googleapis.com/images.pricecharting.com/0768c7185c46c9e47f4cb0a38b2119dc82dfadbe0ed7808d2a86405d31d0aac6/60.jpg
Machamp,Machamp [Reverse Holo] #15,$134.64,$571.71,"$2,624.80",https://storage.googleapis.com/images.pricecharting.com/8d5554569c32989c85cf748804aad81737d759bb3da9b7d3c08d687ab9700636/60.jpg
Machamp,Machamp #15,$20.05,$142.49,$459.85,https://storage.googleapis.com/images.pricecharting.com/2ef0680d7e6789263b69cf2cf79e6652c11f12fd8e66fb76e910f7b0590c2653/60.jpg
Meowth,Meowth [Reverse Holo] #53,$114.93,$369.67,$774.00,https://storage.googleapis.com/images.pricecharting.com/ef38a0cdd9cc14e8f9da374e131efbd24c73589ea6cc1b31ac4fb513f887593e/60.jpg
Meowth,Meowth #53,$3.19,$131.00,$157.00,https://storage.googleapis.com/images.pricecharting.com/e13a24716755a68f18805da9f6b16b71a85eb1a206b3f76c39b9814caf18d6f3/60.jpg
Growlithe,Growlithe [Reverse Holo] #45,$109.00,$389.69,"$1,112.50",https://storage.googleapis.com/images.pricecharting.com/01211a9c54ff0be30ec791a1d9eeb5341307c60df9486e2b583eab2fd65e2e3f/60.jpg
Growlithe,Growlithe #45,$4.08,$19.83,$26.00,https://storage.googleapis.com/images.pricecharting.com/31a5ce3a9d838c257ec54f236ae9686758c2876153e2cd13f389c8b01978dcbf/60.jpg
Dark Slowbro,Dark Slowbro [Reverse Holo] #8,$106.25,$688.67,"$1,605.01",https://storage.googleapis.com/images.pricecharting.com/6de1bf1c0cd52d7cf8efd308a44ea5970c9f4ff15fc45285db909191e6634e12/60.jpg
Dark Slowbro,Dark Slowbro #8,$25.00,$130.22,"$1,154.20",https://storage.googleapis.com/images.pricecharting.com/1431e1810293bad81151de99c02e095591e4953c8e5a55b6051a2b8187bb4267/60.jpg
Gastly,Gastly [Reverse Holo] #76,$102.50,$775.70,"$2,050.00",https://storage.googleapis.com/images.pricecharting.com/6f3263645de1d3b8cdbe6b0ebb5fc184436295b0f00b998dbe31e0c9bab77bbe/60.jpg
Gastly,Gastly #76,$1.31,$122.76,$152.44,https://storage.googleapis.com/images.pricecharting.com/f5ba5f24795f63cb4470c6bbacbce09b0a3be4f662616a2b2664c8d58d935f9a/60.jpg
Kadabra,Kadabra [Reverse Holo] #49,$99.99,$258.84,"$4,624.03",https://storage.googleapis.com/images.pricecharting.com/f91085c1502ea2ca2a60388aa04e548941f6ec6da65922002053847a39dbb112/60.jpg
Kadabra,Kadabra #49,$4.03,$103.00,$119.42,https://storage.googleapis.com/images.pricecharting.com/b8471515057e16c69056cf9e71d3651ca5a4a71050f705442cdce35ea7e28e04/60.jpg
Vulpix,Vulpix [Reverse Holo] #98,$96.64,$271.14,"$1,349.99",https://storage.googleapis.com/images.pricecharting.com/d63e2c3e15e3b02869a8ce06ab66f00c6e6f888080e8a664dc603f6834cba979/60.jpg
Vulpix,Vulpix #98,$1.19,$19.17,$60.65,https://storage.googleapis.com/images.pricecharting.com/6d182a56e8d8db479d8d38b7ca55bf36c878ce0ea2900d0b84ed1a887cf8e431/60.jpg
