Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Pikachu,Pikachu #SM98,$27.14 ,$82.00 ,$235.25 ,https://storage.googleapis.com/images.pricecharting.com/46072f53c928cc5dbbd895fc043f9fb50f8bb77151c37ee90cbc3b9f8102c358/60.jpg
Pikachu,Pikachu #1,$26.87 ,$58.96 ,$635.00 ,https://storage.googleapis.com/images.pricecharting.com/5486e8f6384046c8879f909b0db9c54ea2d5f0367eb51a0ca90e643e17c829a1/60.jpg
Pikachu,Pikachu #SM157,$22.67 ,$37.81 ,$346.57 ,https://storage.googleapis.com/images.pricecharting.com/b7219c92b88f8f09cb79052e5565e147e526d610c125aa37b505da9f17e46123/60.jpg
Pikachu,Pikachu [General Mills 2017] #SM04,$22.01 ,$110.00 ,"$2,560.00 ",https://storage.googleapis.com/images.pricecharting.com/5ubcxfvpono75kzi/60.jpg
Pikachu,Pikachu #4,$21.89 ,$78.37 ,$856.80 ,https://storage.googleapis.com/images.pricecharting.com/b1627e1c706e9a64a0c450c9bc498d5fe6b400eb383ab8299bb9d8d18a7843df/60.jpg
Pikachu,Pikachu [Top Deck Magazine Jumbo] #58,$20.99 ,$408.13 ,"$2,850.00 ",https://storage.googleapis.com/images.pricecharting.com/8f988210d1dc635c3911e26b83f65751ac8c4a1ffe4858fc822b4a476522a31e/60.jpg
Pikachu,Pikachu #HGSS03,$19.83 ,$204.53 ,"$2,020.00 ",https://storage.googleapis.com/images.pricecharting.com/eeljap4jnaafgbys/60.jpg
Pikachu,Pikachu #SM86,$18.28 ,$69.01 ,$186.09 ,https://storage.googleapis.com/images.pricecharting.com/65ce2818546613f8360709d24afad3ea362339f64495ab6776334c8f884f28e7/60.jpg
Pikachu,Pikachu [Paldea] #27,$17.74 ,$34.99 ,$158.50 ,https://storage.googleapis.com/images.pricecharting.com/4c0d8eb53e586d73caf5b6c7e09db61ebb586b07ecfed287ee960ee4e7927140/60.jpg
Pikachu,Pikachu #27,$17.00 ,$29.50 ,$160.50 ,https://storage.googleapis.com/images.pricecharting.com/0154f1ef63ca28de2b41720e2730a7e95ca3016ddc850632d48840b25750a272/60.jpg
Pikachu,Pikachu #88,$15.50 ,$31.00 ,$154.55 ,https://storage.googleapis.com/images.pricecharting.com/8759ff2a3879304cd32c48caa8f4dedc126432cd1a3c3b22ea9d7dc4c399db5f/60.jpg
