Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Nidoking #34,,,,https://storage.googleapis.com/images.pricecharting.com/pcibbicqj5i36bqp/60.jpg
Psyduck [Master Ball] #54,,,,https://storage.googleapis.com/images.pricecharting.com/4t2bj7owbtkmdpi5/60.jpg
Krabby [Master Ball] #98,,,,https://storage.googleapis.com/images.pricecharting.com/32qjxprg47mdm2i2/60.jpg
Voltorb [Master Ball] #100,,,,https://storage.googleapis.com/images.pricecharting.com/5sqjswffwwvbm2hi/60.jpg
Scyther #123,$0.50,,,https://storage.googleapis.com/images.pricecharting.com/7vf55wiqjjh4wsrh/60.jpg
Pinsir [Master Ball] #127,,,,https://storage.googleapis.com/images.pricecharting.com/rxv4jkcaajqsqr5s/60.jpg
Tauros #128,,,,https://storage.googleapis.com/images.pricecharting.com/2nccireyse3jy7hh/60.jpg
Mewex #188,,,,https://storage.googleapis.com/images.pricecharting.com/g5x4g3nxb3iqqtmd/60.jpg
Charmeleon #5,$2.65,$12.61,$24.99,https://storage.googleapis.com/images.pricecharting.com/smpe5n6tfkezgzod/60.jpg
Sandshrew #27,$1.50,$12.19,$36.57,https://storage.googleapis.com/images.pricecharting.com/tgxlnxvdag2crozd/60.jpg
Clefairy [Master Ball] #35,,,,https://storage.googleapis.com/images.pricecharting.com/vmgeiagogrtatldh/60.jpg
Wigglytuff EX #40,$1.42,$12.06,$36.17,https://storage.googleapis.com/images.pricecharting.com/gyxudkkyu7rbigwy/60.jpg
Poliwag [Reverse] #60,,,,https://storage.googleapis.com/images.pricecharting.com/yc3syegrk2ksxdqq/60.jpg
Gastly [Master Ball] #92,,,,https://storage.googleapis.com/images.pricecharting.com/gr6th3adpdljbpj6/60.jpg
Dragonite [Reverse] #149,$2.43,,,https://storage.googleapis.com/images.pricecharting.com/lgubq6cq5mx6x4eb/60.jpg
Beedrill [Master Ball] #15,,,,https://storage.googleapis.com/images.pricecharting.com/e4s3utvfq2geps4p/60.jpg
Ekans #23,,,,https://storage.googleapis.com/images.pricecharting.com/ugxqxjv7bylxltcl/60.jpg
Poliwrath [Master Ball] #62,,,,https://storage.googleapis.com/images.pricecharting.com/wdxg5syzsrg44hgf/60.jpg
Abra [Master Ball] #63,,,,https://storage.googleapis.com/images.pricecharting.com/ul63b5lz6xl7ixg5/60.jpg
Slowbro #80,$4.12,$16.01,$48.04,https://storage.googleapis.com/images.pricecharting.com/nchmpapkw357wahf/60.jpg
Magneton #82,$2.49,,,https://storage.googleapis.com/images.pricecharting.com/w3yivp5wuw2mduu7/60.jpg
Seel #86,$3.85,,,https://storage.googleapis.com/images.pricecharting.com/6ih5qsycoh2qscut/60.jpg
Voltorb #100,,,,https://storage.googleapis.com/images.pricecharting.com/7nw6jzjud5zj6tws/60.jpg
Marowak [Master Ball] #105,,,,https://storage.googleapis.com/images.pricecharting.com/3nhirbb4kczphuug/60.jpg
Rhyhorn #111,$0.50,,,https://storage.googleapis.com/images.pricecharting.com/sosizizjbfjivlov/60.jpg
