Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Golbat #60,$40.00,$58.55,$96.98,https://storage.googleapis.com/images.pricecharting.com/6f7e92027b07fd4b752619c2ddbd592d5332985c1b62779fc41fdf2eb6fff12f/60.jpg
Aerodactyl [Reverse Holo] #1,$53.55,$119.25,$623.80,https://storage.googleapis.com/images.pricecharting.com/b8b0eeefa80f439d61020284d29091750d593e0f9fc96406d23402810f7d6e06/60.jpg
Misdreavus #39,$9.55,$22.00,$51.86,https://storage.googleapis.com/images.pricecharting.com/e4a681fd605384946a62f00e320561795d62bff5d31d744b3d64677d7fadd6a4/60.jpg
Machoke #38,$10.78,$26.92,$54.48,https://storage.googleapis.com/images.pricecharting.com/2d026cdd71cc84fa10e9969be644054a45bace13eb61e33ba8fe93c547ba9fba/60.jpg
Noctowl #40,$10.99,$46.26,$73.50,https://storage.googleapis.com/images.pricecharting.com/60020d96f8284a5e8f4ccc02afd83f85cc5ebf02221b43e0a09152984fa4e90d/60.jpg
Steelix [Reverse Holo] #31,$72.77,$169.75,$364.83,https://storage.googleapis.com/images.pricecharting.com/7a4ddc318938332665c52c9f18f8e28b7788f7fcfbcf10941ee1d59617a4a8f2/60.jpg
Wigglytuff [Reverse Holo] #34,$51.94,$60.44,$905.94,https://storage.googleapis.com/images.pricecharting.com/3611e9d69efc310b09865f00d6910d9e957c430e218da00b3aaae18de3ddcb77/60.jpg
Poliwrath [Reverse Holo] #26,$48.12,$99.50,$251.37,https://storage.googleapis.com/images.pricecharting.com/jxgh4mndx6chaeih/60.jpg
Kabutops [Reverse Holo] #14,$39.87,$77.99,$309.95,https://storage.googleapis.com/images.pricecharting.com/77b4cb9fbbddad7069fa920418ac083fdd41da6f85f6df6800a9af632779750f/60.jpg
Magneton #19,$20.45,$39.00,$176.83,https://storage.googleapis.com/images.pricecharting.com/8ba9de6dd28551147886690dd7ca0a9287ad161b8e6e748273dfc08a54ea20b7/60.jpg
Rhydon #29,$16.25,$24.50,$119.65,https://storage.googleapis.com/images.pricecharting.com/07716f7d3c2b978b73081f7eaf0c45feb8c9ac9d111e76441210b841d70fe1f3/60.jpg
Omastar #23,$27.00,$24.97,$89.90,https://storage.googleapis.com/images.pricecharting.com/dad16bf4be6bdc313f3f71570d8095c342f123e3e75020757be262a64106ef51/60.jpg
Politoed [Reverse Holo] #25,$69.02,$109.29,$519.89,https://storage.googleapis.com/images.pricecharting.com/5e567bf71d50c6f129d0717cbcac7e6ba57c7c22642202878f08dbd9884164d9/60.jpg
