Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Togetic,Togetic #11,$16.57,$62.55,$362.91,https://storage.googleapis.com/images.pricecharting.com/792dd42587ff67d0eb62d1eb81d803b61ea5d3deae37b91cca0ae676e2fe81a3/60.jpg
Arbok,Arbok [Reverse Holo] #13,$22.69,$98.88,$535.60,https://storage.googleapis.com/images.pricecharting.com/3ac47dfbc0f8b3f006f1180311b0db521b059de4bc8822a306add319750972c8/60.jpg
Arbok,Arbok #13,$2.18,$21.57,$75.16,https://storage.googleapis.com/images.pricecharting.com/8dd3c86ef9376b36b531d3426f61952bf01866dbb9bcec3083f8e508c93d5eec/60.jpg
Horsea,Horsea [Reverse Holo] #31,$22.48,$41.07,$460.00,https://storage.googleapis.com/images.pricecharting.com/74870730fe6f62a590bce5ced771c54543eeea5d26b7a6e4cb93ceed96540b63/60.jpg
Horsea,Horsea [Stamped] #31,$19.99,,,https://storage.googleapis.com/images.pricecharting.com/f1454439be266c6a37f6b842eaec4f8f5beab5faab18ea2eda9d1b5cce938df0/60.jpg
Horsea,Horsea [Reverse Holo] #50,$12.92,$37.00,$68.50,https://storage.googleapis.com/images.pricecharting.com/25bab1712960111f9149994c0e6522785e5581f2d89b268e23a2f77d1181b470/60.jpg
Horsea,Horsea #50,$1.58,$35.00,$80.55,https://storage.googleapis.com/images.pricecharting.com/5a67ac4433e0082cde4dbcfca29913756cf5a80f1a968fde80c1daf96480368c/60.jpg
Horsea,Horsea #31,$1.00,$13.75,$66.12,https://storage.googleapis.com/images.pricecharting.com/f4da751df7a4b3c68426226a4e23658042dc91c146bafb727efdcfae5e382d6a/60.jpg
Flaaffy,Flaaffy [Reverse Holo] #30,$21.62,$51.84,"$1,750.00",https://storage.googleapis.com/images.pricecharting.com/d2e7086e156f83269af41271de21d57e8e4becbf3065e16ff31732333e160b5e/60.jpg
Flaaffy,Flaaffy #30,$4.86,$19.00,$81.00,https://storage.googleapis.com/images.pricecharting.com/e7c45e173e3163c6bcd3be8336f3a4debbb1f06eaa28fbef3a95fa250eb5a8e8/60.jpg
Larvitar,Larvitar [Reverse Holo] #52,$20.70,$40.50,"$1,077.50",https://storage.googleapis.com/images.pricecharting.com/37435403359a07635cfb0850e564813530c84ccde83ece4b7b15cdcd56a8c5d2/60.jpg
Larvitar,Larvitar [Reverse Holo] #51,$17.99,$133.48,"$1,000.00",https://storage.googleapis.com/images.pricecharting.com/2efc95be363201a43fb75231f3b34db1aecbd852e58508fdf55dd503aa127ae4/60.jpg
Larvitar,Larvitar #51,$1.32,$25.00,$65.00,https://storage.googleapis.com/images.pricecharting.com/50dc50863f08869a45afe43e8e246aa56a1b9947246ebe36826d551d771c5597/60.jpg
Larvitar,Larvitar #52,$1.20,$24.66,$25.86,https://storage.googleapis.com/images.pricecharting.com/d74a5aabcbd963e3e78b86e3f7bb8e697a1a220c524a2fd13b3857e74e068dd6/60.jpg
Pinsir,Pinsir [Reverse Holo] #9,$20.62,$88.63,$595.13,https://storage.googleapis.com/images.pricecharting.com/xiv5fc5vkxl7lmma/60.jpg
